pno1,pno2,rank1,rank2
5568353,4236165,3,13
6919667,5159751,9,5
8145485,7277370,13,3
8092679,4676063,2,1
8011021,8022965,4,10
7664698,5456213,9,2
7243277,7490052,5,13
8397118,8060301,9,12
8607810,4186779,5,10
8607810,4186779,11,11
6370276,6520835,6,5
4377637,4093702,7,10
7454068,7333244,4,3
8286770,7098600,13,7
4935298,6570336,6,4
7258254,7195138,9,2
7258254,7195138,12,3
7258254,7195138,11,7
7258254,7195138,4,9
7258254,7195138,13,11
3935826,8169129,13,11
7167079,7597992,2,3
6173303,5027619,4,6
5387842,8735240,2,5
6425019,8631495,8,5
6425019,8631495,12,13
7187911,7862988,6,6
7763712,6405361,6,5
8191946,4423439,10,8
5109725,7880633,3,1
7095889,8587643,3,4
7287746,4029222,2,2
4418043,6126804,11,3
7850937,7791633,5,12
4384293,5212574,12,1
7482821,7942179,9,11
4428661,8419263,10,5
8277626,6211055,5,7
4562687,4941229,13,10
8143118,8584481,6,12
7380014,6862633,3,3
7380014,6862633,6,10
7380014,6862633,4,13
5333200,4423560,8,7
8349908,7688710,5,6
6556068,6477306,2,5
6556068,6477306,12,7
4555217,5407222,12,2
4399458,7834335,8,8
7283084,5395767,8,6
7907359,7464348,1,5
6501619,7005619,5,10
5637240,6582456,8,4
7229923,5387445,10,12
4776652,5068889,11,8
4776652,5068889,3,10
6276043,6186984,7,5
4537447,8497607,11,7
6530639,6377195,3,10
6846791,8735486,6,6
6869922,7537451,1,3
4336771,7900549,3,4
4336771,7900549,8,10
6281573,8293119,4,4
6281573,8293119,10,13
4005294,4610975,9,12
8526056,4547158,10,9
6342736,8602005,10,13
6978207,4295657,9,12
6652437,5410561,6,10
7074574,8061443,7,6
8572660,7730329,1,2
8122199,7929341,7,5
8122199,7929341,1,6
8122199,7929341,6,8
8122199,7929341,9,13
8752214,3977454,6,12
6570756,7219355,3,13
5448855,7997954,1,6
5039629,6092683,2,4
7540434,4749528,8,11
3990736,7522948,8,9
4855822,5262250,10,9
3989508,6444250,11,3
3989508,6444250,7,7
8060250,8576583,13,5
8022712,6164553,5,11
7413561,6540431,6,1
7413561,6540431,5,6
7883446,7553564,13,5
6096531,6455268,9,12
4560179,4179137,12,5
4748521,4062421,3,4
4407350,7478806,7,12
7360252,6965116,9,11
4996486,8326895,5,1
6546866,5218711,6,6
6558727,6310580,13,10
6368002,6894224,7,4
4016915,6734194,13,12
8166930,8734462,5,9
5557147,8280048,1,11
4820368,6847492,1,4
4455864,4220040,5,13
8134332,5306799,6,4
7597358,6430845,12,3
6519550,4465410,10,8
5168534,6865710,1,13
8662398,7640322,2,3
7346671,5106695,3,13
8429743,5251209,12,10
8051707,7211452,9,7
6226382,6324609,1,10
6226382,6324609,4,13
7710650,6263464,7,13
7024292,8428735,8,7
7024292,8428735,10,10
8692269,7643551,9,5
8588954,8549403,13,7
5084145,4925905,12,12
5084145,4925905,6,13
5138049,5228775,13,7
4177421,6066541,2,6
8027541,8126282,8,1
7606131,8180036,6,3
8343038,7167342,4,2
4913660,5517129,2,5
7911557,4056013,3,7
5359736,4198756,4,7
6218816,8331860,7,6
6596207,7270276,10,5
5142914,6405472,13,7
8032990,4721630,9,9
6998635,4370596,8,10
4145405,4008077,2,2
7389804,4427170,12,2
4806767,7058455,7,4
7406519,6147624,9,2
7406519,6147624,13,9
7406519,6147624,8,11
8537243,7035595,4,10
4665740,4545307,1,8
4665740,4545307,9,13
6842465,7504129,9,7
7949523,6874295,5,8
6560453,6868147,3,1
