parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
5252323,5520906,5,6,-1
5252323,5520906,8,1,7
5252323,5520906,11,7,4
4806272,5288160,3,3,0
4806272,5288160,8,9,-1
5592692,6855029,10,7,3
5150250,7088382,3,8,-5
5150250,7088382,11,4,7
5150250,7088382,13,13,0
3962812,8161677,1,6,-5
3962812,8161677,3,8,-5
3962812,8161677,7,7,0
3962812,8161677,9,11,-2
6916409,7357854,2,12,-10
6916409,7357854,6,4,2
4182643,4941064,1,5,-4
4182643,4941064,2,4,-2
4182643,4941064,3,11,-8
4182643,4941064,5,1,4
4182643,4941064,8,6,2
4182643,4941064,11,12,-1
4846667,6077069,1,2,-1
6454004,7093658,8,13,-5
5006746,5247220,1,4,-3
5006746,5247220,4,11,-7
5006746,5247220,5,8,-3
5006746,5247220,6,2,4
5006746,5247220,7,3,4
5006746,5247220,10,5,5
5006746,5247220,12,7,5
6162715,7709385,1,1,0
6162715,7709385,2,3,-1
6162715,7709385,11,8,3
5640961,8597193,1,3,-2
5640961,8597193,3,9,-6
4681427,5081486,1,1,0
6089980,7530896,2,1,1
6089980,7530896,3,6,-3
6089980,7530896,4,10,-6
6089980,7530896,7,2,5
6089980,7530896,11,9,2
6567505,8155014,9,12,-3
7455208,8029504,3,13,-10
7455208,8029504,10,6,4
6324846,7011080,1,10,-9
6324846,7011080,2,3,-1
6324846,7011080,3,2,1
6324846,7011080,4,4,0
6324846,7011080,5,8,-3
6324846,7011080,9,11,-2
4521659,5486684,5,1,4
4521659,5486684,8,7,1
4604733,7969822,12,13,-1
6411198,7047049,8,11,-3
4147133,7469657,5,1,4
4957730,5264206,1,1,0
4957730,5264206,4,6,-2
4957730,5264206,13,12,1
6838106,8029846,11,1,10
4386234,7844053,3,1,2
4780169,6451157,5,12,-7
7424823,7650777,3,8,-5
5583765,7141793,1,5,-4
5583765,7141793,2,7,-5
5583765,7141793,3,6,-3
5583765,7141793,9,3,6
8430512,8696141,1,1,0
8430512,8696141,2,2,0
8430512,8696141,3,3,0
8430512,8696141,4,4,0
8430512,8696141,5,5,0
8430512,8696141,6,6,0
8430512,8696141,7,7,0
8430512,8696141,9,8,1
8430512,8696141,10,9,1
8430512,8696141,12,10,2
8430512,8696141,13,11,2
5288569,5478678,3,7,-4
5288569,5478678,4,4,0
5288569,5478678,6,3,3
7059623,7213827,1,2,-1
7059623,7213827,2,5,-3
7059623,7213827,3,1,2
7059623,7213827,4,6,-2
7059623,7213827,5,3,2
7059623,7213827,6,4,2
7059623,7213827,7,10,-3
7059623,7213827,8,7,1
7059623,7213827,11,8,3
4411239,4960088,1,1,0
4411239,4960088,2,9,-7
4411239,4960088,3,6,-3
4411239,4960088,5,2,3
4411239,4960088,8,13,-5
5434340,6316692,1,8,-7
5434340,6316692,7,4,3
5617357,6088266,4,5,-1
5617357,6088266,10,2,8
6922485,7724959,1,4,-3
4092288,7091267,1,3,-2
4092288,7091267,3,1,2
4092288,7091267,9,5,4
4555230,5489201,3,11,-8
5019051,5256153,1,1,0
5019051,5256153,2,2,0
5019051,5256153,3,5,-2
5019051,5256153,4,4,0
5019051,5256153,6,10,-4
5019051,5256153,7,6,1
5019051,5256153,11,12,-1
5019051,5256153,12,3,9
5019051,5256153,13,13,0
4333127,7796880,3,4,-1
4333127,7796880,5,3,2
4333127,7796880,7,1,6
6152371,7086595,1,2,-1
6152371,7086595,3,3,0
6152371,7086595,4,4,0
6152371,7086595,5,5,0
6152371,7086595,9,11,-2
4600809,6349134,6,9,-3
6391061,6624133,1,2,-1
6391061,6624133,3,1,2
6391061,6624133,4,3,1
6391061,6624133,6,5,1
6391061,6624133,7,9,-2
6242864,7812534,6,2,4
6242864,7812534,9,5,4
6242864,7812534,10,1,9
6242864,7812534,13,4,9
6549897,7657504,1,13,-12
5192451,6500345,3,3,0
5548601,8026790,8,10,-2
3998988,8460424,7,13,-6
6201769,7589269,2,10,-8
6201769,7589269,8,3,5
4463869,8464886,6,9,-3
4463869,8464886,10,4,6
6292334,8531801,1,4,-3
6292334,8531801,2,2,0
6292334,8531801,3,7,-4
6292334,8531801,7,3,4
6101417,8483842,7,10,-3
4753646,7066921,9,12,-3
5106662,6427380,3,1,2
5098120,6120049,1,3,-2
5098120,6120049,4,6,-2
5388301,7287301,4,1,3
4825374,5258756,11,2,9
7557704,8081951,1,3,-2
7557704,8081951,5,2,3
6261287,7833252,8,9,-1
6261287,7833252,11,6,5
5037766,8043905,7,4,3
4247880,5399942,5,5,0
6615189,8688554,2,4,-2
7465680,8721797,1,8,-7
7465680,8721797,8,11,-3
5387210,6602236,1,1,0
5387210,6602236,2,3,-1
5387210,6602236,3,9,-6
5387210,6602236,4,2,2
5387210,6602236,7,4,3
6354955,7785207,9,5,4
6095363,6997339,3,5,-2
4882801,6952855,3,8,-5
4882801,6952855,4,2,2
4882801,6952855,5,1,4
4882801,6952855,7,13,-6
7136845,8112454,3,12,-9
7136845,8112454,6,8,-2
7136845,8112454,11,9,2
6509513,7772456,1,7,-6
6509513,7772456,3,9,-6
