pno1,pno2,rank1,rank2
7721929,6216936,2,8
8275822,7266579,1,2
8275822,7266579,13,3
8275822,7266579,6,7
7226696,6495289,6,4
7226696,6495289,7,12
8742187,4684758,10,4
8742187,4684758,3,5
6854430,4340016,1,11
5137319,4003612,1,1
5137319,4003612,4,2
6385987,4708000,7,2
6385987,4708000,5,3
4760706,4318275,12,5
4760706,4318275,6,6
7955332,5334183,6,1
7955332,5334183,2,3
7955332,5334183,4,9
7582442,5252479,11,13
6376113,5525322,5,1
6376113,5525322,4,4
6376113,5525322,9,9
5585422,4278590,4,2
5585422,4278590,6,6
5585422,4278590,8,7
5585422,4278590,11,8
8071156,6287628,9,4
6915564,4083484,2,4
6915564,4083484,8,5
6915564,4083484,9,9
6261557,5395612,1,1
7268293,6140590,4,5
7268293,6140590,6,7
8591672,8002909,3,2
8591672,8002909,9,4
8591672,8002909,1,5
8591672,8002909,11,12
7901952,5032202,2,1
7709742,7238887,4,1
7709742,7238887,6,2
7709742,7238887,2,3
8191091,3982065,8,4
5103276,4225945,13,5
5103276,4225945,5,9
8361164,5593441,1,2
6852580,5173621,9,4
5282444,4676121,3,1
8259093,6650311,2,12
7653157,6304755,6,1
7653157,6304755,11,2
7653157,6304755,2,5
7653157,6304755,1,6
7653157,6304755,13,9
7653157,6304755,3,11
7653157,6304755,12,13
7952119,4682202,8,4
8045111,7180568,1,1
8045111,7180568,13,5
8045111,7180568,4,7
8045111,7180568,9,11
7194293,5431170,8,4
7194293,5431170,12,5
6193373,5395356,1,12
7027683,6581441,7,3
7027683,6581441,3,6
7027683,6581441,11,10
6095725,6012881,1,1
6095725,6012881,2,3
6095725,6012881,7,5
6095725,6012881,5,6
6095725,6012881,13,12
8596322,4673457,1,7
7092265,6545882,7,2
7092265,6545882,5,7
4501678,4125479,2,1
6909602,6362740,6,8
8004804,5576580,4,2
5151622,4829203,7,9
7948876,6671258,4,5
7948876,6671258,12,12
5571263,4679777,4,8
5571263,4679777,9,12
8596145,5312669,1,1
8559951,6324406,1,3
8559951,6324406,5,5
8559951,6324406,11,7
8578546,5040260,3,9
8578546,5040260,8,13
8084292,4816082,8,12
7590531,5615298,5,2
8689439,6332877,1,2
7996886,7043632,7,1
7996886,7043632,1,3
7996886,7043632,3,6
7996886,7043632,9,13
6081411,5364655,12,2
6081411,5364655,1,5
7574263,6920358,13,2
7574263,6920358,8,7
6912387,6278697,8,1
6912387,6278697,5,2
6912387,6278697,3,3
6995430,5461250,3,7
6995430,5461250,1,13
5405701,5147906,4,4
5405701,5147906,7,9
5405701,5147906,6,11
6540527,4519658,2,5
6540527,4519658,5,6
7763996,6504273,7,1
7763996,6504273,8,7
7763996,6504273,2,9
6633988,6173409,10,2
6633988,6173409,4,7
6633988,6173409,3,13
5573182,4320630,3,1
5573182,4320630,4,5
5573182,4320630,10,7
5573182,4320630,9,8
5573182,4320630,7,9
6071638,4053687,1,3
6071638,4053687,7,10
6071638,4053687,9,12
8064700,6178263,1,1
8064700,6178263,2,7
4859349,4042522,6,1
4859349,4042522,1,8
4360890,4086434,3,11
6347906,3971623,11,5
7113693,6132315,12,1
7113693,6132315,6,7
5138563,5018278,4,1
5138563,5018278,7,2
5138563,5018278,9,3
5138563,5018278,10,11
7059698,5600351,3,1
7059698,5600351,7,9
7059698,5600351,1,13
8360792,5348491,4,1
8360792,5348491,6,12
6325725,4710873,2,5
5068110,4716041,1,1
5068110,4716041,2,6
5434719,4030067,5,1
5434719,4030067,3,6
5331361,4310228,4,2
5331361,4310228,7,5
5331361,4310228,5,10
5331361,4310228,2,13
8755153,8446690,4,3
8755153,8446690,1,9
8755153,8446690,2,12
8755153,8446690,3,13
8538768,7092901,4,2
8011394,5213236,2,2
6635057,4094320,3,2
