pno1,pno2,rank1,rank2
4307101,7138135,11,6
4856658,6375027,1,8
4434791,7768460,8,8
8611135,7499346,8,1
8611135,7499346,11,2
7958724,5569178,12,7
4033305,5144998,7,9
5243969,5267274,5,8
8654230,8019341,11,12
4036588,4786424,7,13
7693567,6198429,11,12
7743195,7864271,11,4
7165056,5484437,8,12
6270168,6391764,8,8
7463732,4848712,11,10
6974218,7593203,10,4
6974218,7593203,1,11
6305237,6357599,9,5
6305237,6357599,10,9
8600821,6431711,6,12
7345707,4008410,9,9
8019540,8707079,8,8
8325548,7037299,11,6
7944904,4920607,1,13
3952202,8560173,6,6
7665792,4928786,6,10
7100325,4662647,1,10
6457771,8056175,10,9
3977976,8702999,12,11
5615987,4574398,9,11
4218920,8249027,1,1
6386802,5454043,6,9
7376062,8307196,9,7
6580878,4562551,6,4
4495112,7249786,1,4
8021942,7471147,5,5
6882188,8065060,11,4
8246261,4068508,6,12
4666766,6219258,10,3
4003660,5477437,12,3
4453725,6641904,6,1
4792332,5203771,13,8
4335828,8646532,11,2
6445115,5099530,8,5
5045500,7815299,10,13
8138630,7000846,7,7
7953921,7821506,11,13
6233368,8517275,8,12
5507236,6156213,13,12
7618494,5347100,2,6
4564259,4054474,13,13
4200195,6172287,8,12
5518768,4008409,9,11
4944014,7494750,4,6
5352349,4186282,10,11
7095579,6151396,5,3
5213310,7143605,11,13
7545463,7157023,12,4
6368522,8358752,8,2
7532247,6220713,13,7
3990700,7623351,8,12
7116233,6133573,6,8
4337539,4300364,6,3
4337539,4300364,3,5
7641814,4087898,11,13
5326223,7492765,2,1
5225388,7888378,8,5
7336440,6219765,9,10
8438591,7123160,13,7
5181137,6374670,11,13
7442998,4145628,2,10
8531538,8451223,1,5
8531538,8451223,12,7
8532290,8742577,11,10
7454906,8111238,9,12
7775779,4986321,5,11
4418715,7500632,5,4
4418715,7500632,7,8
4375092,5451503,3,9
4156664,6944563,10,4
4497294,8355899,8,12
4263355,5062945,5,13
4759712,7363969,13,7
6335669,8000039,6,13
5023398,4398588,2,7
6615819,8568024,1,13
6389939,7880514,6,13
6602566,4115788,1,7
6076555,6328304,12,5
4317216,7325976,2,6
4317216,7325976,8,8
4317216,7325976,5,9
5296726,4755423,9,1
7362167,8062173,13,5
7362167,8062173,7,8
5592515,4203075,10,2
5592515,4203075,4,6
5283460,7455152,13,9
4297116,8291868,6,3
6223382,5321942,5,2
7284748,5482144,6,4
8729683,7151498,7,11
6408653,8105585,13,12
8631664,4850809,9,1
8649597,8458054,9,2
8173270,5371149,1,4
8564432,5602896,12,7
3981598,7168645,8,5
5453823,4917491,12,5
8508254,7667718,2,5
6871512,7441870,2,7
6402989,6859263,10,3
6231405,6666772,4,10
7162593,6153936,11,10
6443427,8092522,9,12
8252627,4678650,11,6
7166859,7634867,9,11
6136511,7774990,9,12
6286230,7950737,7,9
8472126,6987943,10,4
7474662,6145016,7,9
7474662,6145016,4,10
4721053,5017968,3,5
4303868,5388461,4,12
5555582,8439629,12,3
8121058,8145995,7,7
6968182,7079482,7,8
6968182,7079482,8,9
7650450,7708950,8,11
5020289,8430889,2,4
5020289,8430889,12,13
7698652,7545468,9,7
5656095,4535063,8,8
6129538,6357160,7,7
6551180,8218204,13,9
8690502,7857392,9,2
7354770,6333670,10,7
5597981,7682995,4,5
7356472,8108956,11,10
7465481,7092556,8,8
7467635,7270941,5,11
4892450,7619205,9,9
7281374,4778322,9,4
7281374,4778322,11,7
6903918,5256518,1,10
7106530,7640826,12,7
5135465,6855697,8,12
8467194,7130251,4,8
8467194,7130251,3,11
6847428,5409310,2,7
8081502,7244990,2,12
7445806,3932115,6,6
6610372,7213978,7,9
6610372,7213978,10,13
5160750,6517543,1,8
5160750,6517543,10,10
5160750,6517543,3,12
6289317,5101232,7,9
